# path	while	readUnchecked	charAt
lib/praxinoscope/src/core/praxinoscope.Subsumption.scala	14	0	0
lib/praxinoscope/src/core/praxinoscope.internal.scala	17	0	0
lib/prescience/src/core/prescience.internal.scala	1	0	0
lib/probably/src/core/probably.Selection.scala	0	0	1
lib/profanity/src/core/profanity.InlineBoard.scala	1	0	1
lib/profanity/src/core/profanity.LineEditor.scala	1	3	1
lib/proscenium/src/core/proscenium.Array.scala	1	1	0
lib/punctuation/src/core/punctuation.BlockBuilder.scala	5	0	9
lib/punctuation/src/core/punctuation.BlockParser.scala	10	0	3
lib/punctuation/src/core/punctuation.EmphasisProcessor.scala	5	0	0
lib/punctuation/src/core/punctuation.HtmlEntities.scala	1	0	1
lib/punctuation/src/core/punctuation.InlineParser.scala	10	0	18
lib/punctuation/src/core/punctuation.InlineSupport.scala	38	0	100
lib/punctuation/src/core/punctuation.LinkRefs.scala	1	0	1
lib/punctuation/src/core/punctuation.ParserSupport.scala	12	0	21
lib/punctuation/src/core/punctuation.Serializer.scala	10	0	15
lib/reliquary/src/core/reliquary.AtomsBlob.scala	1	0	0
lib/reliquary/src/core/reliquary.Blob.scala	1	0	0
lib/reliquary/src/core/reliquary.BlobStream.scala	1	0	0
lib/reliquary/src/core/reliquary.Lira.scala	4	0	3
lib/reliquary/src/core/reliquary.SchemaDelegate.scala	3	0	0
lib/reliquary/src/core/reliquary.UsesBlob.scala	1	0	0
lib/rudiments/src/core/rudiments.Atomic.scala	1	0	0
lib/rudiments/src/core/rudiments.Loop.scala	1	0	0
lib/rudiments/src/core/rudiments.atomicMacros.scala	4	0	0
lib/rudiments/src/core/rudiments.sorting.scala	3	0	0
lib/rudiments/src/core/rudiments_core.scala	6	0	0
lib/savagery/src/core/savagery.Svg.scala	9	0	15
lib/sedentary/src/core/sedentary.Bench.scala	10	0	0
lib/sedentary/src/core/sedentary.Profile.scala	3	0	0
lib/sedentary/src/core/sedentary.Stress.scala	15	0	0
lib/sibylline/src/core/sibylline.Llm.scala	2	0	0
lib/spectacular/src/core/spectacular.Inspectable.scala	1	0	2
lib/stratiform/src/core/stratiform.Mutation.scala	28	0	15
lib/stratiform/src/core/stratiform.Positional.scala	3	0	0
